Date,rsi_14,stoch_k,stoch_d,macd_signal,macd_hist,roc_14,sma_50_dist,sma_100_dist,sma_200_dist,ema_50_dist,ema_100_dist,ema_200_dist,adx_14,bb_upper_dist,bb_lower_dist,bb_width_20,atr_14,rolling_std_20,obv_diff,vwap_dist,cmf_20,lag_ret_1,lag_ret_2,lag_ret_3,lag_ret_4,lag_ret_5,log_return,target
2024-10-23,55.758076978534156,58.2863600994765,77.59039377320717,5.753732292755698,-0.3455800689007713,1.7910516677336612,0.02349788233137466,0.04486141220534698,0.09414679760390536,0.021155434188228288,0.04606086863467636,0.09421830442274737,29.66293892628874,-0.016831320266243788,0.023161119109333498,3.986626665131339,5.329889798073093,0.00605209386564554,-49314600.0,-0.00042783344250284553,0.17289253115484204,-0.000531233343237344,-0.0016436612270650608,0.003839207141191209,8.567303132898711e-05,0.004337078571955299,-0.009179320377298883,1
2024-10-24,57.17363813763847,64.70008867681459,69.8046490707286,5.600129270637125,-0.6144120884742952,1.0925427362915483,0.024363576363581402,0.0460858817772231,0.09537488569963556,0.022427134143633894,0.047321036066501454,0.09553194674228523,28.15850269656612,-0.015123932763213688,0.024568782952724483,3.9506150877636426,5.194079689828092,0.006014310354278839,34979900.0,0.0007947181070228938,0.19726256706186565,-0.009179320377298883,-0.000531233343237344,-0.0016436612270650608,0.003839207141191209,8.567303132898711e-05,0.0021603916004062384,0
2024-10-25,56.860082433609165,57.32357860779132,60.10334246136083,5.3965542974542355,-0.8142998927315599,1.9795698811780997,0.023008921151669463,0.04470653286354115,0.09389056978290909,0.021190022354783667,0.04598666730321048,0.09411766448200769,27.68302002243318,-0.015720879215176987,0.02312265815179266,3.870031179064343,5.270765654828431,0.005999496074318448,-47268200.0,-0.001352334709840883,0.1796561466800969,0.0021603916004062384,-0.009179320377298883,-0.000531233343237344,-0.0016436612270650608,0.003839207141191209,-0.0003454350047973738,1
2024-10-28,59.02546733251915,61.017180916579356,61.0136160670618,5.188086328251284,-0.8338718768118092,1.3364386429814181,0.025149435270835973,0.04700093900221682,0.09614440426746897,0.023369860282121274,0.04819862218039566,0.09643634113355744,27.24150039645259,-0.013270396161863249,0.02564430956811343,3.867542256509139,5.151814671148642,0.0059761721890093265,30174700.0,0.000690007158383056,0.0994655867943271,-0.0003454350047973738,0.0021603916004062384,-0.009179320377298883,-0.000531233343237344,-0.0016436612270650608,0.0030866576271853827,1
2024-10-29,60.15654313804674,62.82159545595504,60.38745166010861,4.990389330449884,-0.790787991205602,0.8022378218591317,0.025944130845265607,0.04774251053989917,0.0967848203889123,0.024021190167240674,0.04885883521480012,0.09713877355321629,26.205382788302376,-0.011715916536326839,0.024970117062867392,3.6444512163043763,5.098192902493134,0.0055325762691575886,42899700.0,0.0016824421786869135,0.1611454042836622,0.0030866576271853827,-0.0003454350047973738,0.0021603916004062384,-0.009179320377298883,-0.000531233343237344,0.0016171912487949784,0
2024-10-30,56.98488979914913,47.77840842626456,57.20572826626636,4.770846644134665,-0.8781707452608751,0.673461709219527,0.022010578464759106,0.04364526477345654,0.09233901582358871,0.020086182227805872,0.044740540649830296,0.092799399370421,25.336851990435104,-0.014168779118440004,0.019291043292841308,3.337434630207771,5.016827687931666,0.005609565503073518,-41435800.0,-0.002007831166674283,0.10134152790678266,0.0016171912487949784,0.0030866576271853827,-0.0003454350047973738,0.0021603916004062384,-0.009179320377298883,-0.003029923390207819,0
2024-10-31,41.69233100348988,1.131292989788888,37.24376562400287,4.360037963337198,-1.6432347231898694,-1.8875592113380473,0.0016323257573643106,0.022517989397824966,0.06991054846282066,8.576293524130948e-05,0.023768497931219667,0.0706166986910562,24.964813974367058,-0.0332663721529867,-0.0010776280540455206,3.2751146795096857,5.470365123276557,0.0072736704655266505,-60182500.0,-0.02006360660768114,0.026005685995768784,-0.003029923390207819,0.0016171912487949784,0.0030866576271853827,-0.0003454350047973738,0.0021603916004062384,-0.019797856315194446,1
2024-11-01,45.04476301072908,14.70586311905595,21.205188178369838,3.878561482124592,-1.9259059248504222,-2.2727275143793886,0.005274691852096047,0.02614250276312339,0.07342641616545464,0.004137096546009764,0.027517842908542957,0.07433211392983084,24.619350102303873,-0.02947055602134207,0.0037843423963091374,3.3687551236432833,5.564505979343097,0.007036193424680882,45667500.0,-0.014537615601764827,-0.06429173050169067,-0.019797856315194446,-0.003029923390207819,0.0016171912487949784,0.0030866576271853827,-0.0003454350047973738,0.004211678376356711,0
2024-11-04,43.659273194105765,10.532003981746152,8.789720030197033,3.3499126574533733,-2.1145952986848755,-1.7196316884418386,0.0027774749133097744,0.02334664462011965,0.07018998939213042,0.001896604444843813,0.02479105099418031,0.07125033128659462,24.757320534206208,-0.031040935055603326,0.0007129931627610166,3.224285798000268,5.490528778387651,0.006738647237367729,-38217000.0,-0.015313745040802452,-0.03867282272886251,0.004211678376356711,-0.019797856315194446,-0.003029923390207819,0.0016171912487949784,0.0030866576271853827,-0.0021563387077012815,1
2024-11-05,52.477019708045894,48.32743032238206,24.521765807728087,2.9197668701741692,-1.720583149116817,-0.9617023010969499,0.01427379197672983,0.03502106606645284,0.08213713883473878,0.013454603356580788,0.03641964244358755,0.0832961740683402,23.813806719518148,-0.019120125834238638,0.011968552778020234,3.120024402451545,5.5846390825102,0.006948596885552104,39478300.0,-0.0026798894324477638,-0.02351839853614386,-0.0021563387077012815,0.004211678376356711,-0.019797856315194446,-0.003029923390207819,0.0016171912487949784,0.012019404124795185,1
