fold_id,model,metric,value
16,majority,log_loss,0.6781139800606302
16,naive,accuracy,0.5873015873015873
16,naive,precision,0.6623376623376623
16,naive,recall,0.6623376623376623
16,naive,f1,0.6623376623376623
16,naive,roc_auc,0.5
16,naive,log_loss,0.6931471805599454
16,rf,accuracy,0.5793650793650794
16,rf,precision,0.6176470588235294
16,rf,recall,0.8181818181818182
16,rf,f1,0.7039106145251397
16,rf,roc_auc,0.4571958653591307
16,rf,log_loss,0.6881500191246709
16,xgb,accuracy,0.5
16,xgb,precision,0.5853658536585366
16,xgb,recall,0.6233766233766234
16,xgb,f1,0.6037735849056604
16,xgb,roc_auc,0.43254704479194267
16,xgb,log_loss,0.7127088472778322
17,logistic,accuracy,0.4523809523809524
17,logistic,precision,0.5714285714285714
17,logistic,recall,0.05714285714285714
17,logistic,f1,0.1038961038961039
17,logistic,roc_auc,0.5334183673469387
17,logistic,log_loss,0.7293664620840955
17,majority,accuracy,0.5555555555555556
17,majority,precision,0.5555555555555556
17,majority,recall,1.0
17,majority,f1,0.7142857142857143
17,majority,roc_auc,0.5
17,majority,log_loss,0.6872117502313716
17,naive,accuracy,0.46825396825396826
17,naive,precision,0.5217391304347826
17,naive,recall,0.5142857142857142
17,naive,f1,0.5179856115107914
17,naive,roc_auc,0.5
17,naive,log_loss,0.6931471805599454
17,rf,accuracy,0.5
17,rf,precision,0.5492957746478874
17,rf,recall,0.5571428571428572
17,rf,f1,0.5531914893617021
17,rf,roc_auc,0.534438775510204
17,rf,log_loss,0.6893121301938844
17,xgb,accuracy,0.5238095238095238
17,xgb,precision,0.5806451612903226
17,xgb,recall,0.5142857142857142
17,xgb,f1,0.5454545454545454
17,xgb,roc_auc,0.5165816326530612
17,xgb,log_loss,0.7808788277735703
18,logistic,accuracy,0.40476190476190477
18,logistic,precision,0.0
18,logistic,recall,0.0
18,logistic,f1,0.0
18,logistic,roc_auc,0.3362091503267974
18,logistic,log_loss,0.8061070992603592
18,majority,accuracy,0.5952380952380952
18,majority,precision,0.5952380952380952
18,majority,recall,1.0
18,majority,f1,0.746268656716418
18,majority,roc_auc,0.5
18,majority,log_loss,0.6803371807033043
18,naive,accuracy,0.49206349206349204
18,naive,precision,0.5733333333333334
18,naive,recall,0.5733333333333334
18,naive,f1,0.5733333333333334
18,naive,roc_auc,0.5
18,naive,log_loss,0.6931471805599454
18,rf,accuracy,0.47619047619047616
18,rf,precision,0.5652173913043478
18,rf,recall,0.52
18,rf,f1,0.5416666666666666
18,rf,roc_auc,0.4533333333333333
18,rf,log_loss,0.7176843366192397
18,xgb,accuracy,0.47619047619047616
18,xgb,precision,0.5849056603773585
18,xgb,recall,0.41333333333333333
18,xgb,f1,0.484375
18,xgb,roc_auc,0.4888888888888889
18,xgb,log_loss,0.7294704249333707
